,ANO_MES,ACESSOS
0,2012-01-01,0.6578730545085589
1,2012-02-01,0.6712536682817496
2,2012-03-01,0.6892009403743042
3,2012-04-01,0.7035037051592228
4,2012-05-01,0.7204555500584421
5,2012-06-01,0.7325503533106346
6,2012-07-01,0.7463260234714596
7,2012-08-01,0.7621278758066491
8,2012-09-01,0.7760741373531282
9,2012-10-01,0.7912496144055127
10,2012-11-01,0.8047337925206588
11,2012-12-01,0.815863003173403
12,2013-01-01,0.8318244101103592
13,2013-02-01,0.8398736525107399
14,2013-03-01,0.8472646691834902
15,2013-04-01,0.8556589244719617
16,2013-05-01,0.8537078831413227
17,2013-06-01,0.8557568948275633
18,2013-07-01,0.8724796382676442
19,2013-08-01,0.882313664692527
20,2013-09-01,0.8871191005555332
21,2013-10-01,0.8954695614823701
22,2013-11-01,0.9032973122609044
23,2013-12-01,0.9082006680832387
24,2014-01-01,0.9174307455670052
25,2014-02-01,0.922610222571614
26,2014-03-01,0.9301619025641473
27,2014-04-01,0.938905605612774
28,2014-05-01,0.9485994296048977
29,2014-06-01,0.9561861350074841
30,2014-07-01,0.9620564945249237
31,2014-08-01,0.9703039958650865
32,2014-09-01,0.9801360064390311
33,2014-10-01,0.9911634166193908
34,2014-11-01,1.0
35,2014-12-01,0.9862217596292285
36,2015-01-01,0.9908053007002008
37,2015-02-01,0.9940916416923734
38,2015-03-01,0.9965771355030306
39,2015-04-01,0.9963687469122833
40,2015-05-01,0.9943547606360957
41,2015-06-01,0.9902567372636144
42,2015-07-01,0.991871635450291
43,2015-09-01,0.9840535607562606
44,2015-10-01,0.9784112947724903
45,2015-11-01,0.9689862341067162
46,2015-12-01,0.9636666050656217
47,2016-01-01,0.9612790816105661
48,2016-02-01,0.9577600610238396
49,2016-03-01,0.9668098206411746
50,2016-04-01,0.953821793838219
51,2016-05-01,0.9537779490803109
52,2016-06-01,0.9540908595422093
53,2016-07-01,0.9563401460191706
54,2016-08-01,0.9559315330339762
55,2016-09-01,0.9581392929816084
56,2016-10-01,0.9574934143409752
57,2016-11-01,0.9536157234760507
58,2016-12-01,0.9485221217214137
59,2017-01-01,0.9431199939806691
60,2017-02-01,0.9403276372609283
61,2017-03-01,0.9418345866298585
62,2017-04-01,0.9485186947748186
63,2017-05-01,0.9417250251313617
64,2017-06-01,0.9367927922443361
65,2017-07-01,0.9302707081185423
66,2017-08-01,0.9239333767312443
67,2017-09-01,0.9181069627642597
68,2017-10-01,0.9130179470705074
69,2017-11-01,0.9122046520094481
70,2017-12-01,0.9134150697053537
71,2018-01-01,0.9123770072646732
72,2018-02-01,0.9067200255690533
73,2018-03-01,0.9072698993087496
74,2018-04-01,0.9055243739812708
75,2018-05-01,0.9038676468876244
76,2018-06-01,0.9041580302152873
77,2018-07-01,0.9004007360476531
78,2018-08-01,0.8996524017830806
79,2018-09-01,0.8986047640504432
80,2018-10-01,0.8948018612553299
81,2018-11-01,0.8890792132153946
82,2018-12-01,0.8826643219632453
83,2019-01-01,0.8825681658734881
84,2019-02-01,0.8765222257393221
85,2019-03-01,0.869414133745763
86,2019-04-01,0.8622402746153416
87,2019-05-01,0.8538532259939745
88,2019-06-01,0.8480351274121105
89,2019-07-01,0.8411425298838563
90,2019-08-01,0.8303645812571119
91,2019-09-01,0.8135120170166041
92,2019-10-01,0.8086407132241887
93,2019-11-01,0.8025548088451709
94,2019-12-01,0.7904333963605928
95,2020-01-01,0.7766216928642455
96,2020-02-01,0.7731078630936851
97,2020-03-01,0.7684079066310258
98,2020-04-01,0.7733881671666565
99,2020-05-01,0.7691498405688691
100,2020-06-01,0.7660642783301518
101,2020-07-01,0.7657377104781462
102,2020-08-01,0.7636729751545868
103,2020-09-01,0.7618059444118016
104,2020-10-01,0.7574784668062677
105,2020-11-01,0.751729007948853
106,2020-12-01,0.7473116233914706
107,2021-01-01,0.7387738899124652
108,2021-02-01,0.7312753275921563
109,2021-03-01,0.7217776458963298
110,2021-04-01,0.7139542795935863
111,2021-05-01,0.7063578477102226
112,2021-06-01,0.7010196728404957
113,2021-07-01,0.6955615548399396
114,2021-08-01,0.6892196877880304
115,2021-09-01,0.6851428812466748
116,2021-10-01,0.6804137453416834
117,2021-11-01,0.6747965263058217
118,2021-12-01,0.6783451799013412
119,2022-01-01,0.6773803432459947
120,2022-02-01,0.6755642127394018
121,2022-03-01,0.6714610489470278
122,2022-04-01,0.6679452033255291
123,2022-05-01,0.6652791396670732
124,2022-06-01,0.6623326711430989
125,2022-07-01,0.6551809359767254
126,2022-08-01,0.6485401686269389
127,2022-09-01,0.6421391867462639
128,2022-10-01,0.6363221464861425
129,2022-11-01,0.6330442720679108
130,2022-12-01,0.6300218563598359
131,2023-01-01,0.6202327330146038
132,2023-02-01,0.6112154789936489
